subID	RT	PHASE	
0	0.0	0	
1	0.0	0	
2	0.0	0	
3	0.0	0	
4	0.0	0	
5	0.0	0	
6	0.0	0	
7	0.0	0	
8	0.0	0	
9	0.0	0	
0	3.4246575342465753	1	
1	2.5806451612903225	1	
2	1.7543859649122806	1	
3	0.7462686567164178	1	
4	1.1049723756906076	1	
5	2.13903743315508	1	
6	1.1111111111111112	1	
7	2.1505376344086025	1	
8	13.903743315508022	1	
9	2.9069767441860463	1	
